Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,SERIES,REF_AREA,URBANISATION,UNIT_MEASURE,TIME_DETAIL,GeoCode,Value
2014,A,0,C,National_SDG_Report,Proportion de la population vivant dans des ménages ayant accès à l'eau potable (%),,,PT,2016,,33.4
2016,A,0,C,National_SDG_Report,Proportion de la population vivant dans des ménages ayant accès à l'eau potable (%),,,PT,2016,,63.0
2014,A,0,C,National_SDG_Report,Proportion de la population vivant dans des ménages ayant accès à l'eau potable (%),,R,PT,2016,,14.9
2016,A,0,C,National_SDG_Report,Proportion de la population vivant dans des ménages ayant accès à l'eau potable (%),,R,PT,2016,,16.3
2014,A,0,C,National_SDG_Report,Proportion de la population vivant dans des ménages ayant accès à l'eau potable (%),,U,PT,2016,,60.8
2016,A,0,C,National_SDG_Report,Proportion de la population vivant dans des ménages ayant accès à l'eau potable (%),,U,PT,2016,,90.5
2014,A,0,C,National_SDG_Report,Proportion de la population vivant dans des ménages ayant accès à l'electricité (%),,,PT,2016,,58.4
2016,A,0,C,National_SDG_Report,Proportion de la population vivant dans des ménages ayant accès à l'electricité (%),,,PT,2016,,53.0
2014,A,0,C,National_SDG_Report,Proportion de la population vivant dans des ménages ayant accès à l'electricité (%),,R,PT,2014,,31.7
2014,A,0,C,National_SDG_Report,Proportion de la population vivant dans des ménages ayant accès à l'electricité (%),,U,PT,2014,,96.2
